iter	Passed	Remaining
813	4508	50873
814	4513	50868
815	4519	50864
816	4524	50857
817	4530	50851
818	4535	50842
819	4540	50834
820	4546	50832
821	4551	50824
822	4557	50817
823	4562	50812
824	4568	50808
825	4574	50807
826	4580	50801
827	4585	50795
828	4591	50794
829	4597	50788
830	4602	50781
831	4608	50777
832	4613	50774
833	4619	50769
834	4624	50763
835	4630	50757
836	4635	50750
837	4641	50744
838	4646	50737
839	4652	50734
840	4659	50748
841	4666	50756
842	4671	50748
843	4675	50717
844	4680	50714
845	4686	50708
846	4692	50706
847	4697	50698
848	4702	50687
849	4707	50677
850	4713	50677
851	4719	50672
852	4724	50659
853	4729	50654
854	4735	50649
855	4740	50642
856	4746	50636
857	4751	50627
858	4757	50623
859	4762	50618
860	4768	50615
861	4774	50613
862	4780	50608
863	4785	50601
864	4790	50596
865	4796	50595
866	4802	50589
867	4807	50581
868	4813	50579
869	4819	50572
870	4824	50564
871	4829	50555
872	4834	50547
873	4840	50540
874	4845	50536
875	4851	50532
876	4857	50528
877	4862	50520
878	4868	50518
879	4873	50510
880	4879	50505
881	4884	50495
882	4890	50490
883	4895	50485
884	4901	50478
885	4906	50471
886	4911	50464
887	4917	50462
888	4923	50456
889	4929	50461
890	4935	50455
891	4940	50449
892	4946	50445
893	4952	50440
894	4958	50440
895	4964	50444
896	4967	50415
897	4973	50410
898	4979	50408
899	4984	50402
900	4990	50396
901	4995	50391
902	5002	50394
903	5008	50393
904	5013	50387
905	5020	50395
906	5026	50390
907	5031	50383
908	5037	50376
909	5042	50367
910	5048	50364
911	5053	50359
912	5059	50355
913	5064	50349
914	5070	50344
915	5076	50339
916	5081	50337
917	5088	50344
918	5094	50336
919	5100	50334
920	5105	50327
921	5110	50321
922	5115	50311
923	5121	50308
924	5127	50303
925	5133	50301
926	5139	50298
927	5144	50292
928	5150	50288
929	5155	50280
930	5159	50259
931	5166	50269
932	5171	50259
933	5176	50250
934	5182	50247
935	5188	50242
936	5193	50237
937	5199	50235
938	5204	50225
939	5210	50219
940	5216	50216
941	5221	50212
942	5227	50206
943	5229	50165
944	5234	50161
945	5240	50153
946	5245	50147
947	5251	50144
948	5257	50140
949	5262	50135
950	5268	50132
951	5273	50125
952	5279	50119
953	5284	50112
954	5291	50112
955	5297	50118
956	5304	50119
957	5309	50113
958	5315	50111
959	5321	50114
960	5328	50115
961	5333	50108
962	5338	50101
963	5341	50066
964	5347	50062
965	5352	50059
966	5358	50059
967	5364	50052
968	5369	50044
969	5374	50029
970	5380	50027
971	5385	50021
972	5391	50021
973	5397	50015
974	5403	50015
975	5408	50005
976	5414	50005
977	5419	49997
978	5425	49993
979	5432	49997
980	5439	50007
981	5445	50008
982	5451	50005
983	5457	50001
984	5462	49995
985	5468	49989
986	5473	49980
987	5478	49972
988	5483	49964
989	5489	49956
990	5494	49952
991	5500	49944
992	5505	49937
993	5511	49937
994	5516	49928
995	5522	49927
996	5528	49922
997	5533	49914
998	5539	49906
999	5545	49905
1000	5551	49903
1001	5556	49901
1002	5563	49900
1003	5568	49895
1004	5574	49889
1005	5580	49891
1006	5585	49884
1007	5589	49857
1008	5597	49881
1009	5605	49890
1010	5612	49897
1011	5620	49919
1012	5626	49916
1013	5632	49914
1014	5637	49905
1015	5643	49900
1016	5648	49892
1017	5653	49886
1018	5660	49884
1019	5665	49878
1020	5668	49852
1021	5672	49827
1022	5677	49821
1023	5683	49815
1024	5688	49810
1025	5694	49805
1026	5699	49797
1027	5704	49789
1028	5710	49783
1029	5715	49776
1030	5720	49768
1031	5726	49765
1032	5732	49759
1033	5738	49758
1034	5743	49750
1035	5749	49745
1036	5754	49738
1037	5757	49705
1038	5763	49707
1039	5769	49702
1040	5774	49697
1041	5779	49690
1042	5785	49682
1043	5791	49680
1044	5796	49675
1045	5802	49672
1046	5804	49638
1047	5810	49633
1048	5815	49626
1049	5821	49619
1050	5826	49611
1051	5831	49604
1052	5837	49600
1053	5842	49593
1054	5848	49584
1055	5853	49580
1056	5859	49573
1057	5865	49569
1058	5870	49565
1059	5876	49560
1060	5881	49554
1061	5887	49549
1062	5893	49545
1063	5898	49539
1064	5903	49532
1065	5909	49526
1066	5915	49524
1067	5921	49522
1068	5927	49518
1069	5932	49510
1070	5938	49508
1071	5943	49500
1072	5949	49498
1073	5955	49495
1074	5961	49492
1075	5966	49488
1076	5972	49481
1077	5978	49477
1078	5983	49469
1079	5988	49462
1080	5994	49458
1081	6000	49453
1082	6005	49447
1083	6008	49421
1084	6011	49395
1085	6017	49392
1086	6022	49385
1087	6028	49379
1088	6034	49375
1089	6039	49371
1090	6045	49365
1091	6050	49360
1092	6056	49354
1093	6062	49353
1094	6068	49349
1095	6073	49344
1096	6079	49337
1097	6084	49332
1098	6090	49326
1099	6096	49322
1100	6101	49317
1101	6107	49315
1102	6113	49315
1103	6119	49311
1104	6125	49307
1105	6131	49308
1106	6137	49301
1107	6142	49296
1108	6147	49287
1109	6153	49281
1110	6158	49275
1111	6164	49269
1112	6169	49262
1113	6175	49256
1114	6180	49250
1115	6187	49255
1116	6194	49258
1117	6199	49253
1118	6205	49249
1119	6211	49251
1120	6217	49246
1121	6223	49245
1122	6228	49237
1123	6234	49232
1124	6239	49225
1125	6245	49220
1126	6250	49212
1127	6255	49203
1128	6260	49192
1129	6266	49188
1130	6272	49184
1131	6277	49176
1132	6282	49166
1133	6287	49156
1134	6293	49152
1135	6298	49143
1136	6303	49135
1137	6308	49128
1138	6313	49119
1139	6319	49114
1140	6325	49112
1141	6330	49105
1142	6335	49096
1143	6341	49092
1144	6347	49088
1145	6352	49082
1146	6358	49077
1147	6363	49069
1148	6369	49063
1149	6374	49058
1150	6380	49055
1151	6386	49050
1152	6391	49042
1153	6397	49037
1154	6402	49030
1155	6407	49022
1156	6410	48997
1157	6415	48988
1158	6418	48964
1159	6425	48964
1160	6431	48965
1161	6438	48972
1162	6444	48971
1163	6450	48966
1164	6455	48959
1165	6461	48953
1166	6466	48946
1167	6472	48941
1168	6478	48938
1169	6483	48932
1170	6489	48927
